Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,"When did Pakistan gain independence from British rule?","August 15, 1947","August 14, 1947","March 23, 1940","August 14, 1948",B
2,"Who is known as the founder of Pakistan?","Allama Iqbal","Liaquat Ali Khan","Muhammad Ali Jinnah","Fatima Jinnah",C
3,"What was the Pakistan Resolution also known as?","Delhi Resolution","Lahore Resolution","Karachi Resolution","Dhaka Resolution",B
4,"In which year was the Pakistan Resolution passed?",1930,1935,1940,1945,C
5,"Who was Pakistan's first Prime Minister?","Muhammad Ali Jinnah","Khawaja Nazimuddin","Liaquat Ali Khan","Iskander Mirza",C
6,"When was the first Constitution of Pakistan adopted?",1949,1956,1962,1973,B
7,"What was the capital of Pakistan before Islamabad?","Lahore","Karachi","Rawalpindi","Dhaka",B
8,"Who was the poet-philosopher who conceived the idea of a separate Muslim state in the subcontinent?","Faiz Ahmed Faiz","Allama Muhammad Iqbal","Josh Malihabadi","Mirza Ghalib",B
9,"In which year did East Pakistan become Bangladesh?",1965,1970,1971,1974,C
10,"Who was Pakistan's first President?","Ayub Khan","Iskander Mirza","Muhammad Ali Jinnah","Yahya Khan",B
11,"The 1973 Constitution of Pakistan was passed during whose government?","Ayub Khan","Yahya Khan","Zulfikar Ali Bhutto","Zia-ul-Haq",C
12,"When did Muhammad Ali Jinnah pass away?","August 14, 1948","September 11, 1948","December 25, 1948","January 1, 1949",B
13,"What was the Two-Nation Theory based on?","Economic differences","Religious and cultural differences between Muslims and Hindus","Geographical divisions","Language barriers",B
14,"The Indo-Pakistani War of 1965 was fought primarily over which region?","East Pakistan","Kashmir","Punjab","Sindh",B
15,"Who assassinated Liaquat Ali Khan in 1951?","Saad Akbar","Said Akbar Babrak","Rahmat Ali","Unknown assailant",B
16,"When was Islamabad officially made the capital of Pakistan?",1947,1960,1967,1970,C
17,"The Simla Agreement was signed between India and Pakistan in which year?",1965,1971,1972,1974,C
18,"Who was the military ruler of Pakistan from 1977 to 1988?","Ayub Khan","Yahya Khan","Zia-ul-Haq","Pervez Musharraf",C
19,"The Objective Resolution, which laid the foundation for Pakistan's constitution, was passed in which year?",1947,1949,1951,1956,B
20,"Who was the first woman Prime Minister of Pakistan?","Fatima Jinnah","Benazir Bhutto","Nusrat Bhutto","Begum Ra'ana Liaquat Ali Khan",B